taxa,3329_11-01-16,6100_12-27-16,1894_04-24-18,6070_08-30-17,6037_07-10-18,3660_09-20-16,5702_04-26-16,8118_02-09-16,1320_03-23-16,4489_11-17-15,4374_02-28-17,8186_11-22-16,6995_03-15-16,5338_08-04-17,0010_07-09-16,7786_11-08-16,7953_05-15-18,5287_10-19-16,4759_08-16-16,5913_01-24-17,4100_01-03-17,1203_01-23-17,4657_08-23-16,4582_05-23-17,9059_02-02-16,0963_05-23-17,1985_06-07-16,9591_03-14-17,1709_09-19-17,9120_02-09-16,8120_05-22-18,7768_08-15-17,3369_08-07-18,3898_12-27-16,8633_04-19-16,3227_08-15-17,3899_06-13-18,8507_05-03-16,2651_11-22-16,6753_10-30-18,4471_01-03-17,1593_09-12-17,7005_02-14-18,5975_07-18-17,5890_09-27-16,8012_12-09-15,9190_03-14-18,5160_07-19-16,6673_12-07-16,8344_05-02-17,9176_03-29-16,7551_11-02-16,3836_02-27-17,5432_01-27-16,2045_08-21-17,4954_11-23-16,3315_06-07-16,0354_01-10-17,0904_07-10-17,7660_05-01-18,4018_01-05-16,3321_03-08-16,3921_07-18-17,5600_07-10-17,0677_08-19-17,4546_04-26-16,9371_10-16-18,4913_03-07-17,3955_08-25-17,8158_04-12-16,3545_12-13-16,2409_08-02-16
Negarnaviricota,0,0,1,2,0,1,25,0,0,137,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,6,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Chordata,2976,60,5340,2259,386,1485,1838,103,713,754,198,54,1871,313,8920,4957,6018,198,44,415,502,6106,4642,1007,289,6660,483,2889,76,241,477,658,273,4417,239,686,241,5476,715,3462,123,189,368,2862,9744,11104,150,59,116,2331,12616,210,376,9141,695,504,126,2306,115,297,17,12550,520,439,1283,6160,357,95,682,1943,7,7073
Chytridiomycota,3,0,62,147,2,52,77,2,42,34,2,1,205,10,10,0,48,2,1,13,20,1,4,46,14,0,51,294,0,3,93,1,13,241,2,69,14,1,7,15,1,8,5,177,55,3,63,0,22,1,1,4,11,319,34,2,1,2,1,22,2,5,21,29,93,54,17,11,13,74,2,0
Microsporidia,8,0,34,288,27,95,16,0,26,144,7,14,123,29,30,0,29,68,3,8,21,1,0,34,11,1,5,149,21,16,55,4,13,309,1,58,53,4,20,25,1,0,10,324,100,27,10,4,4,0,0,26,30,287,46,8,0,88,57,2,12,50,12,39,34,283,69,3,8,440,0,0
Blastocladiomycota,1,0,26,8,2,6,0,0,2,10,1,0,10,6,1,0,0,0,2,1,4,0,1,15,2,0,0,43,6,1,9,23,3,30,6,23,0,2,2,1,0,1,2,49,10,0,1,0,0,0,0,2,2,53,5,2,4,0,0,3,3,1,4,10,12,0,4,0,6,2,0,0
Cryptomycota,0,0,3,59,0,2,0,0,2,1,2,0,2,9,1,0,0,0,0,1,0,0,0,2,8,0,1,32,0,0,0,17,0,29,0,17,0,3,0,3,0,0,0,20,4,0,0,0,4,0,0,0,0,26,0,0,0,0,0,1,0,0,1,2,4,1,0,0,0,5,0,0
Mucoromycota,128,3,314,2457,303,2192,574,90,316,695,182,33,1477,219,153,16,347,101,121,126,181,7,20,620,228,5,309,2821,11,145,205,99,100,4826,150,2004,242,110,178,153,10,99,250,2816,743,128,64,20,125,35,18,127,260,4199,365,38,3,18,35,160,13,185,387,308,652,2131,169,61,106,1809,44,3
Zoopagomycota,11,3,91,302,99,985,223,2,73,67,30,2,269,74,26,0,9,43,3,9,19,2,8,110,86,2,26,600,1,30,29,19,34,739,29,216,11,15,105,49,1,16,21,751,161,9,51,0,26,9,7,19,74,1123,30,21,4,3,87,21,3,25,44,63,127,388,28,10,39,267,2,1
Ascomycota,29658,1193,7217,5889956,442324,605387,8418,836,3116,7601,1552,470,1475861,2226,1562551,114427,1625,3506,259,3064,2599,62,17058,6314,2235,173,5171,766106,317,2325,3979,3451,2861,40241,1486,9000,3930,10794,2269,8753,28200,905,2126,13284,1284059,1928,1317,86,1479,436,539,1641,1915,235982,3953,890458,527,1655,403,903,346,5790,4534,4271,10536,7906,1700,751,2864,85953,2222,61
Basidiomycota,36160,108,3023,56998,427,4250,3167,533,1618,3528,680,163,5049,1235,551,387,409,7181,232,1394,1404,16,309,2740,1329,30,7205,470338,184,575,1512,1616,1231,28203,416,3894,880,4987,2806,1400,135,356,1112,4526,17086,145,558,39,318,415,165,749,874,467270,1630,222,114,260,98,607,96,4133,2176,2121,6244,2350,662,695,1720,66471,22,17
Proteobacteria,9136,2510,38145,68332,9740,18937,280563,3245,492772,2302144,1383495,1496209,48674,16319,5054,5070,6328,2613,7325,558067,898562,23752,5783,84439,1549463,10088,583623,150244,7306,61803,432824,11209,11355,176710,105758,329065,8733,5455,238710,10417,7416,6830,999851,807013,57081,4473,18985,761640,3867,5928,4749,21813,128741,745474,203229,2457,6201,11070,2758,33614,43422,6243,47462,148827,45121,1133197,7397,5465012,118989,89283,1989,2882
Fusobacteria,32,4,79,306,510,174,737,10,240,225,1875,69,732,176,24,4,506,2,15,77,125,46,3,325,96,0,51,21559,18,249,51,515,35,20057,37,117,148,30,404,832,26,22,179,519396,141,21,32,172,33,150,11,105,89,103143,276,6,15,22,10,157,18,92,138,176,581,244939,194,156,47,2579,14,8
Nitrospirae,19,3,720,52,15,107,184,2,55,166,16,5,195,69,20,23,3,5,8,53,73,2,282,150,26,4,137,169,23,27,110,45,58,765,20,189,11,6,67,129,20,34,42,278,175,5,32,5,24,12,2,34,60,360,228,22,6,6,6,43,9,5,139,104,337,53,33,77,99,121,2,1
Acidobacteria,50,10,1341,252,127,136,1885,85,401,1521,114,49,395,321,66,65,23,13,34,524,608,4,101,1322,123,6,1156,1343,115,207,1269,601,568,1668,110,1358,94,35,125,238,60,59,263,979,306,3,197,11,250,31,5,382,250,3145,769,46,41,29,25,141,10,58,683,1243,1974,164,195,411,538,532,20,0
Dictyoglomi,0,0,0,1,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,5,0,0,0,0,0,5,1,0,1,8,0,0,0,0,0,4,0,0,1,12,1,0,0,1,0,3,0,0,0,2,1,16,0,1,0,1,0,0
Elusimicrobia (74152),4,2,113,30,2,49,256,4,51,174,8,7,47,57,5,5,3,43,8,59,115,1,6,194,47,1,125,102,4,108,117,142,74,185,11,216,11,10,25,18,10,13,38,179,28,0,54,5,7,1,1,59,55,284,169,0,1,4,6,29,4,3,137,111,205,178,62,47,87,123,4,0
Aquificae (200783),3,0,11,7,1,11,14,1,2,20,7,2,6,16,1,0,2,0,4,11,6,0,0,15,10,0,5,20,6,3,3,7,4,46,4,23,5,0,4,2,2,4,7,51,7,0,15,0,1,0,1,8,5,65,5,5,5,1,2,19,0,1,14,11,29,21,19,14,4,6,0,0
Thermotogae (200918),15,1,22,38,4,328,114,4,44,51,19,5,86,6,4,0,10,2,12,65,42,1,0,85,19,1,6,78,3,42,15,12,44,164,4,63,11,3,8,21,8,7,50,282,13,0,17,0,5,2,2,27,22,177,84,1,3,9,3,54,6,1,120,68,134,284,12,14,58,59,1,0
Deferribacteres (200930),2,1,15,12,0,4,45,0,7,23,1,0,15,10,0,1,1,1,19,10,7,0,1,20,9,0,1,44,4,6,3,4,2,65,7,11,0,3,2,14,5,5,2,50,4,0,1,3,33,2,0,16,18,103,31,1,3,2,1,12,1,0,16,17,66,115,33,11,4,17,0,0
Chrysiogenetes (200938),0,2,5,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,1,0,5,0,1,3,1,0,0,14,0,2,1,2,2,10,1,1,1,0,1,2,1,0,2,5,1,0,2,1,0,0,0,1,0,4,2,3,1,0,0,1,0,0,4,1,10,0,1,1,2,1,0,0
Thermodesulfobacteria (200940),0,2,2,5,0,4,4,1,2,4,3,0,2,3,0,0,0,2,2,1,3,0,1,8,6,0,1,14,6,0,3,2,0,22,4,9,5,0,3,1,1,1,1,75,1,0,1,0,3,0,1,0,2,27,7,1,0,0,5,4,1,1,2,19,53,122,4,3,2,8,1,0
Spirochaetes,55,33,314,201,57,350,2008,24,337,562,660,30,752,387,127,7,149,12,16,228,363,4,22,1014,123,4,382,2039,74,253,244,105,235,1473,107,1767,152,30,116,9095,135,96,111,1268,107,18,193,13,122,186,5,430,508,4182,542,20,19,56,99,1097,110,20,1759,636,1499,644,232,107,124,4794,13,0
Synergistetes,177,0,46,119,3,73,256,13,56,204,10,4,63,79,6,3,1,2,9,73,1875,0,3,256,5,5,11,74599,7,85,17,76,63,2143,7,246,49,4,11,325,168,20,24,200,61,0,20,6,7,16,0,67,88,64945,27415,1,11,2,1,2332,1,47,99,64,377,8,13,19,34,20648,0,0
Calditrichaeota,1,0,2,1,0,1,35,1,0,2,0,1,0,0,1,0,0,0,0,4,3,0,0,9,0,0,0,2,0,0,10,0,13,2,1,5,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,1,8,4,0,0,0,0,4,0,0,2,1,9,1,0,0,1,0,0,0
Coprothermobacterota,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,2,0,0,1,0,1,5,2,5,1,0,1,1,0,0,0,41,0,0,0,0,0,0,0,6,1,20,1,0,2,1,0,4,0,0,2,8,1,1,0,0,0,2,1,0
Candidatus Omnitrophica,3,6,46,136,5,25,153,90,21,150,8,2,22,36,1,3,4,1,8,52,70,0,2,105,17,0,154,84,14,7,67,28,61,107,11,84,10,1,21,17,5,10,63,110,27,1,13,6,9,1,0,37,29,131,51,1,7,7,6,32,2,3,72,54,158,49,27,37,84,34,5,0
Verrucomicrobia,633,3924,2871,5093,6461,247,1272,1050,585,1563503,145,58,590,2118,78,343,2928,15,60,2086138,961,322,627,291932,51073,3677,11373,2737,253,208162,57577,3712096,1556093,7404,75,138972,322,1237,28038,360,197,3032,1331115,22252,205,16,365,276,2473,776,316,1057,433149,3387,1908,2887,544,23,546,2877,25,47,1005581,1714709,2940,124,11726,308,1859299,605,37,1
Kiritimatiellaeota,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,5,1,0,0,0,0,0,0,8,1,16,0,0,0,0,0,0,0
Planctomycetes,25,2,1531,222,42,111,738,138,143,755,94,57,426,168,37,35,11,5,4,144,306,1,105,603,52,2,416,641,33,90,645,152,145,1453,153,562,79,17,57,177,28,27,96,343,147,0,90,10,54,24,1,164,141,1905,283,50,33,15,11,106,7,15,342,500,1010,85,94,182,176,381,7,1
Chlamydiae,77,13,107,159,8,500,169,4,465,570,54,42,1723,51,1072,40,320,204,39,31,153,10,4,90,41,40,43,76926,28,46,74,148,18,320,61,60,191,1739,327,329,50,104,77,461,78567,255,1233,13,22,17,32,43,127,1331,65,364,202,289,94,539,238,462,829,86,204,264,3521,192,171,4302,29,18
Lentisphaerae,1,1,80,73,11,4,511,1,28,140,35,9,76,49,3,1,3,1,3,62,191,3,8,187,17,0,101,172,4,20,182,57,59,130,22,299,13,0,49,34,2,26,23,166,14,0,18,2,21,2,3,61,73,194,136,2,18,3,122,17,1,3,100,198,335,10,12,24,70,50,2,0
Candidatus Marinimicrobia,4,0,11,6,4,78,82,1,10,34,9,1,31,32,1,0,1,1,0,1,12,0,0,43,7,0,97,21,4,3,15,5,21,52,14,30,8,3,4,4,2,8,11,32,18,1,1,1,3,0,0,9,7,66,17,1,2,4,0,7,1,1,8,35,59,5,6,5,10,10,1,0
Fibrobacteres,2,1,27,10,52,11,132,6,148,52,11,22,157,12,1,1,1,3,2,46,55,1,3,114,18,0,91,35,17,148,50,2,25,90,12,121,52,2,20,27,1,10,24,128,13,0,41,4,8,2,0,13,27,82,46,3,82,4,1,17,5,2,191,125,209,11,105,12,46,38,2,0
Candidatus Latescibacteria,1,1,9,2,0,3,41,0,7,25,4,0,1,0,0,0,0,0,15,1,7,0,0,19,2,0,37,7,1,2,28,0,5,18,1,21,4,0,3,1,2,2,1,6,4,0,2,0,2,0,0,2,7,89,19,0,12,0,0,7,0,0,17,9,34,11,0,5,13,10,0,0
Gemmatimonadetes (142182),6,82,416,88,10,94,242,1,77,280,6,15,47,19,27,14,17,0,6,94,109,0,36,216,13,1,128,274,12,36,367,50,100,415,10,470,23,5,25,61,7,9,44,196,51,1,49,9,7,2,0,46,68,722,119,11,6,5,3,85,4,7,155,243,393,7,19,94,99,75,0,1
Candidatus Hydrogenedentes,0,0,12,1,0,2,8,0,2,3,0,0,1,2,0,0,0,0,0,0,7,0,0,5,2,0,1,2,0,2,4,0,2,6,0,17,2,0,0,1,1,1,1,16,2,0,1,0,0,0,0,3,1,43,11,0,0,0,0,4,0,0,5,1,18,0,0,2,1,2,0,0
Candidatus Cloacimonetes,3,0,10,12,0,16,38,3,36,35,15,23,15,16,0,0,2,0,0,10,52,0,0,27,9,0,3,32,9,16,4,1,2,79,5,22,2,0,7,4,4,4,23,64,5,1,5,0,9,1,0,10,23,68,20,0,50,2,1,18,0,2,19,29,32,17,6,9,1,38,2,0
candidate division Zixibacteria,1,1,7,1,0,1,13,0,12,12,1,0,1,0,0,0,1,1,0,7,9,0,1,11,2,0,3,5,0,3,43,6,2,14,5,13,3,0,0,1,1,1,3,28,6,0,7,0,0,1,0,2,2,63,9,0,1,0,1,2,6,0,25,17,15,29,4,5,1,5,0,0
Candidatus Fermentibacteria,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,2,3,0,0,3,0,2,1,0,5,1,0,3,1,0,1,0,2,0,0,1,0,0,0,0,0,0,13,1,1,1,1,0,0,0,0,1,1,7,0,1,1,1,1,0,0
Candidatus Kryptonia,0,2,4,3,2,3,2,0,1,0,1,0,2,0,0,0,1,0,0,4,0,0,0,5,1,0,1,6,4,2,1,0,0,17,3,27,4,0,0,1,1,0,3,4,4,2,2,0,7,1,3,0,1,26,10,0,0,1,2,4,0,1,3,1,17,25,3,0,4,19,1,0
Firmicutes,954561,20565,9456,471250,87223,959298,4426842,73831,5805588,1388639,1515571,1377469,6973834,2780028,2761,9384,2463559,3213,438050,2637701,2084474,23866,27218,1471403,4950397,14741,4183671,2207264,179223,2779880,98335,1238379,1131636,2262063,2557726,2835891,746847,327008,1039765,526415,1966965,1185976,1575291,9391242,250187,259666,1675780,339141,2779901,382122,19675,2137813,684052,2117096,2613406,3246726,284012,3377930,34556,3733825,301005,185407,2339640,2116356,9336760,8761653,700626,1928893,831853,2833851,12737,561
Deinococcus-Thermus,19,2,226,57,13,4,502,1,39,134,7,8,214,32,32,11,3,2,3,70,119,0,28,279,15,0,256,225,14,15,185,43,112,352,11,346,13,34,16,42,23,18,97,181,60,0,43,8,7,9,1,81,70,1179,151,17,6,4,4,49,0,7,142,142,415,48,29,49,87,201,2,1
Armatimonadetes,4,3,103,14,5,5,119,1,17,100,12,4,15,44,5,1,2,2,3,64,51,0,7,185,10,0,18,316,17,13,104,75,89,165,10,108,13,1,10,23,4,6,42,86,17,1,15,3,7,2,1,27,40,285,61,6,8,3,3,23,3,4,58,74,185,9,9,20,43,60,3,0
Chloroflexi,33,54,618,241,51,69,1336,136,416,814,125,32,710,287,23,24,20,8,102,578,480,5,38,1038,85,3,780,763,80,203,409,85,310,1424,66,1360,67,28,94,164,52,90,136,836,167,4,218,30,100,26,2,307,232,41727,599,42,224,42,18,387,11,32,751,560,1492,143,149,203,313,326,23,1
